第n次,test_mse,test_mae
"1, 64",0.0171810295432806,0.10126865655183792
"2, 64",0.018367035314440727,0.0983525812625885
"3, 64",0.019923964515328407,0.10677919536828995
"4, 64",0.028527500107884407,0.13484802842140198
"5, 64",0.021100111305713654,0.10819072276353836
"6, 64",0.0187236238270998,0.10826469212770462
"mean,64",0.02063721076895793,0.10961731274922688
第n次,test_mse,test_mae
"1, 128",0.01748874969780445,0.10019110888242722
"2, 128",0.02319558709859848,0.11488284915685654
"3, 128",0.015659380704164505,0.09038181602954865
"4, 128",0.016719618812203407,0.09484212845563889
"5, 128",0.01684061996638775,0.09572014957666397
"6, 128",0.017741817981004715,0.10378403216600418
"mean,128",0.017940962376693886,0.09996701404452324
第n次,test_mse,test_mae
"1, 256",0.017491986975073814,0.0977143719792366
"2, 256",0.018718160688877106,0.10662143677473068
"3, 256",0.017386525869369507,0.10413229465484619
"4, 256",0.02400163933634758,0.12412311881780624
"5, 256",0.0170748308300972,0.09565079212188721
"6, 256",0.02035726234316826,0.11336196959018707
"mean,256",0.01917173434048891,0.10693399732311566
第n次,test_mse,test_mae
"1, 512",0.017219966277480125,0.09790736436843872
"2, 512",0.015874264761805534,0.08994271606206894
"3, 512",0.016129858791828156,0.08890140056610107
"4, 512",0.01591424271464348,0.09183845669031143
"5, 512",0.02046014368534088,0.10809795558452606
"6, 512",0.021662037819623947,0.11069216579198837
"mean,512",0.01787675234178702,0.09789667651057243
第n次,test_mse,test_mae
"1, 1024",0.01621292158961296,0.08910781145095825
"2, 1024",0.02648516744375229,0.12986460328102112
"3, 1024",0.017431799322366714,0.10113263875246048
"4, 1024",0.017590271309018135,0.09940694272518158
"5, 1024",0.016956999897956848,0.10087060928344727
"6, 1024",0.01841558702290058,0.10242253541946411
"mean,1024",0.018848791097601254,0.10380085681875546
