²Än¦¸,test_loss
"1, 64",0.018936001633992016
"2, 64",0.019280449189103564
"3, 64",0.018822361043539057
"4, 64",0.018606679266602307
"5, 64",0.01917079603024915
"6, 64",0.018297607718120217
"7, 64",0.020059148254770395
"8, 64",0.018010816241908808
"9, 64",0.018661381495244957
"10, 64",0.0187617145204788
"mean,64",0.01886069553940093
"1, 128",0.01859162507130998
"2, 128",0.017177801788566514
"3, 128",0.01850014727949021
"4, 128",0.018362079720208927
"5, 128",0.018283116438355333
"6, 128",0.017828221676759407
"7, 128",0.01810966641294886
"8, 128",0.018064951258600068
"9, 128",0.017813012870936357
"10, 128",0.018298948927292426
"mean,128",0.018102957144446808
"1, 256",0.017949945017814304
"2, 256",0.01794284820928782
"3, 256",0.017290607704663088
"4, 256",0.018330731892075094
"5, 256",0.018458537086766914
"6, 256",0.018010736263815497
"7, 256",0.01806052825877206
"8, 256",0.01793733015759844
"9, 256",0.017909308664818584
"10, 256",0.01767426765641114
"mean,256",0.017956484091202294
