第n次,test_loss
"1, 64",0.01879005836005679
"2, 64",0.018954636408271285
"3, 64",0.017860372451612448
"4, 64",0.018948810394081934
"5, 64",0.017859308129842606
"6, 64",0.018224822901941364
"7, 64",0.018839016402973054
"8, 64",0.018456430705810146
"9, 64",0.019351088257452864
"10, 64",0.01893081608675149
"mean,64",0.018621536009879397
"1, 128",0.01892658147186899
"2, 128",0.017781071682750373
"3, 128",0.01860536264331234
"4, 128",0.018795731561106605
"5, 128",0.018641006497409747
"6, 128",0.018935011144814044
"7, 128",0.019429267084654363
"8, 128",0.018519803009438836
"9, 128",0.01850118646621084
"10, 128",0.01862322680194718
"mean,128",0.018675824836351336
"1, 256",0.01836681901566113
"2, 256",0.017439865109523965
"3, 256",0.018141418116563234
"4, 256",0.017457247881313764
第n次,test_loss
"1, 256",0.018045181256695998
"2, 256",0.017666333541403286
"3, 256",0.018457440560553748
"4, 256",0.017116571971361644
"5, 256",0.01831747614495919
"6, 256",0.016490434628836693
"7, 256",0.01797764676103276
"8, 256",0.01818609678038201
"9, 256",0.017553737652599502
"10, 256",0.01793561893393503
"mean,256",0.017774653823175984
